title,total,price,qu,lu,xiaoqu,huxing,louceng,mianji,taoneimianji,jianzhuleixing,chaoxiang,jianchengniandai,zhuangxiuqingkuang,jianzhujiegou,gongnuanfangshi,tihubili,dianti,jiaoyishuxing,fangwuyongtu,chanquannianxian
中山北路805弄1室1厅30.85平米_上海中山北路805弄二手房成交房源(上海链家),213,69044,静安,大宁,中山北路805弄,1室1厅1厨1卫,中楼层(共6层),30.85㎡,平层,板楼,南,1989,精装,砖混结构,,一梯四户,无,商品房,普通住宅,暂无数据
森安苑2室1厅70.58平米_上海森安苑二手房成交房源(上海链家),280,39672,闵行,春申,森安苑,2室1厅1厨1卫,低楼层(共6层),70.58㎡,平层,板楼,南,2002,简装,钢混结构,,一梯两户,无,商品房,普通住宅,暂无数据
崧泽华城华中苑2室2厅79.65平米_上海崧泽华城华中苑二手房成交房源(上海链家),172,21532,青浦,赵巷,崧泽华城华中苑,2室2厅1厨1卫,低楼层(共18层),79.65㎡,平层,暂无数据,南,未知,毛坯,未知结构,,一梯四户,暂无数据,动迁安置房,普通住宅,暂无数据
摩卡小城2室2厅92.34平米_上海摩卡小城二手房成交房源(上海链家),412,44618,松江,九亭,摩卡小城,2室2厅1厨1卫,高楼层(共11层),92.34㎡,平层,板楼,南北,2009,精装,钢混结构,,一梯两户,有,商品房,普通住宅,暂无数据
金领国际(公寓)2室1厅71.42平米_上海金领国际(公寓)二手房成交房源(上海链家),260,36405,浦东,曹路,金领国际(公寓),2室1厅0厨1卫,高楼层(共11层),71.42㎡,平层,板楼,南,2009,精装,钢混结构,,一梯四户,有,商品房,普通住宅,暂无数据
乾溪新村1室0厅32.05平米_上海乾溪新村二手房成交房源(上海链家),152,47426,宝山,大场镇,乾溪新村,1室0厅1厨1卫,中楼层(共5层),32.05㎡,平层,板楼,南,1993,精装,砖混结构,,一梯六户,无,商品房,普通住宅,暂无数据
梅园四街坊2室1厅56.66平米_上海梅园四街坊二手房成交房源(上海链家),625,110308,浦东,梅园,梅园四街坊,2室1厅1厨1卫,高楼层(共6层),56.66㎡,平层,板楼,南,1989,精装,砖混结构,,一梯两户,无,售后公房,普通住宅,暂无数据
天柱山路小区1室1厅36.19平米_上海天柱山路小区二手房成交房源(上海链家),300,82896,黄浦,蓬莱公园,天柱山路小区,1室1厅1厨1卫,中楼层(共6层),36.19㎡,平层,板楼,南,1993,简装,砖混结构,,一梯五户,无,商品房,普通住宅,暂无数据
又一村(静安)3室2厅115.47平米_上海又一村(静安)二手房成交房源(上海链家),710,61488,静安,江宁路,又一村(静安),3室2厅1厨2卫,低楼层(共7层),115.47㎡,平层,板楼,南,1999,精装,钢混结构,,一梯两户,无,商品房,普通住宅,暂无数据
延长小区(普陀)1室1厅40.34平米_上海延长小区(普陀)二手房成交房源(上海链家),215,53297,普陀,甘泉宜川,延长小区(普陀),1室1厅0厨1卫,中楼层(共6层),40.34㎡,暂无数据,板楼,南,1986,其他,砖混结构,,一梯六户,无,商品房,普通住宅,暂无数据
红旗五村2室1厅54.4平米_上海红旗五村二手房成交房源(上海链家),162,29780,闵行,老闵行,红旗五村,2室1厅1厨1卫,中楼层(共6层),54.4㎡,平层,板楼,南,1988,精装,砖混结构,,一梯四户,无,商品房,普通住宅,暂无数据
黄山始信苑2室0厅54.91平米_上海黄山始信苑二手房成交房源(上海链家),545,99254,浦东,金杨,黄山始信苑,2室0厅1厨1卫,中楼层(共5层),54.91㎡,暂无数据,板楼,南,1999,其他,砖混结构,,一梯两户,无,商品房,普通住宅,暂无数据
古楼新苑1室1厅68.01平米_上海古楼新苑二手房成交房源(上海链家),199,29158,松江,泗泾,古楼新苑,1室1厅1厨1卫,低楼层(共14层),68.01㎡,平层,板楼,南,2013,毛坯,钢混结构,,一梯三户,有,动迁安置房,普通住宅,暂无数据
安化路421号1室1厅39.49平米_上海安化路421号二手房成交房源(上海链家),245,62042,长宁,中山公园,安化路421号,1室1厅1厨1卫,低楼层(共2层),39.49㎡,平层,板楼,南,1990,简装,混合结构,,一梯一户,无,商品房,普通住宅,暂无数据
新丰公寓2室1厅75.37平米_上海新丰公寓二手房成交房源(上海链家),200,26536,青浦,华新,新丰公寓,2室1厅1厨1卫,高楼层(共18层),75.37㎡,暂无数据,板楼,南北,2014,简装,钢混结构,,两梯四户,有,动迁安置房,普通住宅,暂无数据
东南新村(浦东)2室1厅39.45平米_上海东南新村(浦东)二手房成交房源(上海链家),240,60837,浦东,陆家嘴,东南新村(浦东),2室1厅1厨1卫,高楼层(共6层),39.45㎡,平层,板楼,南,1980,精装,砖混结构,,一梯四户,无,商品房,普通住宅,暂无数据
